citation,doc_count,doc_count_case,doc_count_research,total_hits,top_issues,sample_context
Inc. v. United | 579 U.S. 162,1,1,0,4,law_enforcement;recusal;notice;jurisdiction;lockout_eviction,"CASE DOCS\05-04-2023-Agreed_Motion-1.pdf-1.pdf | Techs., Inc. v. United States, 579 U.S. 162, 172 (2016); compare TEX. INS. CODE ANN."
Johnson v. Brewer | 73 S.W.3d 193,1,0,1,4,notice;federal_court;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-is-a-summary-judgment--and-how-is-it-defined-and-applied-under-Texas-law--1.pdf | 802, 827 (Tex.2005); Johnson v. Brewer & Pritchard, P.C., 73 S.W.3d 193, 208"
Jones v. Johnson | 134 F.3d 309,1,0,1,4,jurisdiction;notice;federal_court;associate_judge;appeal,"RESEARCH\vLex-Vincent-The-relevant-statute-or-local-rule-limits-the-authority-of-associate-judges-to-conduct-initial-heari-1.pdf | Jones v. Johnson, 134 F.3d 309 (5th Cir. 1998): The Fifth Circuit"
Keith v. Volpe | 858 F.2d 467,1,0,1,4,law_enforcement;jurisdiction;notice;rico;fraud_perjury,"RESEARCH\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.pdf | claims at issue, as recognized in Keith v. Volpe, 858 F.2d 467 (9th Cir. 1988)."
Khalik v. United | 671 F.3d 1188,1,0,1,4,law_enforcement;jurisdiction;notice;rico;fraud_perjury,"RESEARCH\vLex-Vincent-Plaintiff-s-complaint-contains-detailed-factual-allegations-regarding-the-timing--nature--and-purpos-1.pdf | 2016), Khalik v. United Air Lines, 671 F.3d 1188 (10th Cir. 2012), and Hogan"
L.P. v. Pro | 140 S. Ct. 1308,1,1,0,4,law_enforcement;recusal;notice;jurisdiction;lockout_eviction,"CASE DOCS\05-04-2023-Agreed_Motion-1.pdf-1.pdf | v. United States, 140 S. Ct. 1308, 1320 (2020); Crosstex Energy Servs., L.P. v. Pro Plus,"
LLC v. Deer | 555 F.3d 1188,1,0,1,4,law_enforcement;jurisdiction;notice;rico;fraud_perjury,"RESEARCH\vLex-Vincent-Plaintiff-s-complaint-contains-detailed-factual-allegations-regarding-the-timing--nature--and-purpos-1.pdf | (Christy Sports, LLC v. Deer Valley Resort Co., 555 F.3d 1188 (10th Cir."
Liverman v. Payne-Hall | 486 S.W.3d 1,1,1,0,4,law_enforcement;due_process;notice;temporary_orders;fraud_perjury,"CASE DOCS\06.05.25 - REQUEST FOR HEARING ON DWOP-1.pdf | S.W.3d 645 (Tex. App. 2018), Liverman v. Payne-Hall, 486 S.W.3d 1 (Tex. App. 2015), Davis v."
Longmire v. Gust | 921 F.2d 620,1,0,1,4,jurisdiction;lockout_eviction;federal_court;associate_judge;appeal,"RESEARCH\vLex-Vincent-An-associate-judge-presided-over-a-motion-that-was-filed-as-a-de-novo-request-following-a-prior-hear-1.pdf | also Longmire v. Gust, 921 F.2d 620, 623 (5th Cir. 1991) (party filing written"
Lozano v. Tex-Paint | 606 S.W.2d 40,1,1,0,4,law_enforcement;due_process;notice;temporary_orders;fraud_perjury,"CASE DOCS\06.05.25 - REQUEST FOR HEARING ON DWOP-1.pdf | 1986), Lozano v. Tex-Paint, Inc., 606 S.W.2d 40 (Tex. Ct. App. 1980), and Tandy Corp. v."
Marin v. Iesi | 317 S.W.3d 314,1,0,1,4,law_enforcement;notice;appeal;sanctions_contempt;discovery,"RESEARCH\failed to plead.pdf | Marin v. Iesi TX Corp., 317 S.W.3d 314 (Tex. App. 2010), the court explained"
Milner v. Kilgore | 718 S.W.2d 759,1,0,1,4,law_enforcement;due_process;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-What-are-the-broader-implications-1.pdf | mandamus relief is available (In re Pate, 407 S.W.3d 416 (Tex. App. 2013); Milner v. Kilgore, 718 S.W.2d 759 (Tex. App. 1986))."
Nath v. Texas | 433 S.W.3d 101,1,1,0,4,law_enforcement;due_process;notice;temporary_orders;fraud_perjury,"CASE DOCS\06.05.25 - REQUEST FOR HEARING ON DWOP-1.pdf | West, 433 S.W.3d 101 (Tex. App. 2014), Nath v. Texas Children's Hosp., NO. 14-11-00034-CV,"
Omura v. State | 730 S.W.2d 766,1,0,1,4,due_process;ex_parte;notice;jurisdiction;temporary_orders,"RESEARCH\NO ORDER OF REFERRAL - ASSOCIATE JUDGE.pdf | Omura v. State, 730 S.W.2d 766 (Tex. App. 1987) further clarifies that"
Perryman v. Spartan | 546 S.W.3d 110,1,1,0,4,law_enforcement;recusal;notice;jurisdiction;lockout_eviction,"CASE DOCS\05-04-2023-Agreed_Motion-1.pdf-1.pdf | Perryman v. Spartan Tex. Six Capital Partners, Ltd., 546 S.W.3d 110, 13132 (Tex. 2018)"
Porter v. Califano | 592 F.2d 770,1,0,1,4,due_process;jurisdiction;federal_court;associate_judge;appeal,"RESEARCH\vLex-Vincent-The-same-associate-judge-who-made-the-initial-ruling-is-presiding-over-the-de-novo-request--Due-proc-1.pdf | The supplementary case law, Porter v. Califano, 592 F.2d 770 (5th Cir. 1979),"
Powell v. Fletcher | 695 S.W.3d 675,1,0,1,4,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-IN-THE-MATTER-OF-THE-MARRIAGE-OF-MORGAN-MICHELLE-MYERS-AND-CHARLES-DUSTIN-MYERS-AND-IN-THE-INTEREST--1.pdf | cause (Powell v. Fletcher, 695 S.W.3d 675 (Tex. App. 2024); In re The"
Pyle v. Hatley | 239 F. Supp. 2d 970,1,0,1,4,law_enforcement;due_process;jurisdiction;lockout_eviction;fraud_perjury,"RESEARCH\vLex-Vincent-In-a-divorce-proceeding-that-has-not-been-finalized--if-a-third-party-fraudulently-induces-the-court-1.pdf | As established in Pyle v. Hatley, 239 F. Supp. 2d 970 (C.D. Cal. 2002), judicial"
Rylee v. McMorrough | 616 S.W.2d 649,1,0,1,4,jurisdiction;notice;lockout_eviction;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-What-constitutes--fraud-on-the-court--in-Texas--and-what-are-the-available-remedies-if-proven-in-a-d-1.pdf | Rylee v. McMorrough, 616 S.W.2d 649, 652 (Tex. Ct. App. 1981)"
Safety v. Scanio | 159 S.W.3d 712,1,1,0,4,law_enforcement;recusal;notice;jurisdiction;lockout_eviction,"CASE DOCS\05-04-2023-Agreed_Motion-1.pdf-1.pdf | prescription); see, e.g., Tex. Dept of Pub. Safety v. Scanio, 159 S.W.3d 712, 714 (Tex."
States v. Throckmorton | 98 U.S. 61,1,0,1,4,law_enforcement;due_process;jurisdiction;lockout_eviction;fraud_perjury,"RESEARCH\vLex-Vincent-In-a-divorce-proceeding-that-has-not-been-finalized--if-a-third-party-fraudulently-induces-the-court-1.pdf | The Supreme Court's decision in United States v. Throckmorton, 98 U.S. 61,"
Taylor v. Charter | 162 F.3d 827,1,0,1,4,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (8)-1.pdf | under Rule 201 (Taylor v. Charter Medical Corp., 162 F.3d 827 (5th Cir."
Turner v. Cook | 362 F.3d 1219,1,0,1,4,jurisdiction;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-Defendants-made-ongoing-threats-to-Plaintiff--including-threats-of-future-criminal-activity--demonst-1.pdf | isolated events. As stated in Turner v. Cook, 362 F.3d 1219 (9th Cir. 2004),"
U.S. v. Kunzman | 54 F.3d 1522,1,0,1,4,jurisdiction;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-Myers-and-Branthoover-communicated-across-state-lines--Texas-and-Oklahoma--via-text-messages-and-pho-1.pdf | In U.S. v. Kunzman, 54 F.3d 1522 (10th Cir. 1995), the Tenth Circuit found"
U.S. v. Parise | 159 F.3d 790,1,0,1,4,rico;fraud_perjury;federal_court;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-Morgan-Michelle-Myers-actively-transferred-funds--prepared-fraudulent-documents--and-lied-to-the-cou-1.pdf | In U.S. v. Parise, 159 F.3d 790 (3rd Cir. 1998), the Third Circuit elaborated"
U.S. v. Wright | 672 F.2d 531,1,0,1,4,law_enforcement;federal_court;civil_rights_1983;appeal;sanctions_contempt,"RESEARCH\vLex-Vincent-Extortion-Under-Color-of-Official-Right--Extortion-under-color-of-official-right-does-not-require-pr-1.pdf | 1980); U.S. v. Dozier, 672 F.2d 531, 537 (5th Cir. 1982); U.S. v. Wright, 797 F."
Worth v. Pridgen | 653 S.W.3d 176,1,1,0,4,law_enforcement;recusal;notice;jurisdiction;lockout_eviction,"CASE DOCS\05-04-2023-Agreed_Motion-1.pdf-1.pdf | statutory text, informed by its context. Id.; City of Fort Worth v. Pridgen, 653 S.W.3d 176,"
Adams v. McIlhany | 764 F.2d 294,1,0,1,3,recusal;jurisdiction;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-The-state-court-judge-s-authority-was-strictly-limited-by-statute-or-rule--and-the-judge-acted-outsi-1.pdf | actions are in excess of authority (Adams v. McIlhany, 764 F.2d 294 (5th Cir."
Al-Abood v. El-Shamari | 217 F.3d 225,1,0,1,3,rico;fraud_perjury;federal_court;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-Under-what-statutes-should-a-father-seek-relief-for-wire-fraud-in-a-RICO-suit-against-his-spouse--hi-1.pdf | criminal activity. In Al-Abood v. El-Shamari, 217 F.3d 225 (4th Cir. 2000), the"
Barkhausen v. Craycom | 178 S.W.3d 413,1,0,1,3,ex_parte;notice;federal_court;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-How-and-when-can-a-party-invoke-their-right-to-a-jury-trial--1.pdf | Barkhausen v. Craycom, Inc., 178 S.W.3d 413 (Tex. 2005)). The fee must be"
Belz v. Belz | 667 S.W.2d 240,1,0,1,3,jurisdiction;notice;lockout_eviction;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-What-constitutes--fraud-on-the-court--in-Texas--and-what-are-the-available-remedies-if-proven-in-a-d-1.pdf | Belz v. Belz, 667 S.W.2d 240, 247 (Tex. App. 1984) (declined to follow in"
Biggs v. Biggs | 553 S.W.2d 207,1,0,1,3,jurisdiction;notice;lockout_eviction;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-What-constitutes--fraud-on-the-court--in-Texas--and-what-are-the-available-remedies-if-proven-in-a-d-1.pdf | fault or negligence of their own (Biggs v. Biggs, 553 S.W.2d 207 (Tex."
Binur v. Jacobo | 135 S.W.3d 646,1,0,1,3,notice;federal_court;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-is-a-summary-judgment--and-how-is-it-defined-and-applied-under-Texas-law--1.pdf | standards."" Binur v. Jacobo, 135 S.W.3d 646, 650-51 (Tex. 2004), as cited in"
Bonds v. State | 772 S.W.2d 193,1,0,1,3,federal_court;appeal,"RESEARCH\vLex-Vincent-What-is-the-hierarchy-of-legal-authorities-in-Texas--including-the-Texas-Constitution--statutes--suc-1.pdf | Bonds v. State, 772 S.W.2d 193, 195 (Tex. App. 1989)). The Constitution also"
Brewer v. Collins | 857 S.W.2d 819,1,0,1,3,law_enforcement;due_process;jurisdiction;notice;federal_court,"RESEARCH\vLex-Vincent-Can-a-divorce-case-be-1.pdf | Earlier cases, such as Brewer v. Collins, 857 S.W.2d 819 (Tex. App. 1993), Carson v. Gomez, 841 S.W.2d 491 (Tex. App. 1992), Timmons v. Luce, 840 S.W.2d"
Brook v. Brook | 881 S.W.2d 297,1,0,1,3,law_enforcement;due_process;child_support_oag;jurisdiction;notice,"RESEARCH\vLex-Vincent-What-are-the-leading-Texas-cases-interpreting-the--best-interests-of-the-child--standard-in-family-l-1.pdf | 1990); Brook v. Brook, 881 S.W.2d 297 (Tex. 1994). This presumption is"
Capps v. State | 265 S.W.3d 44,1,0,1,3,jurisdiction;fraud_perjury;federal_court;discovery;injunction,"RESEARCH\vLex-Vincent-What-are-the-ethical-and-legal-consequences-for-attorneys-in-Texas-who-knowingly-participate-in-or-f-1.pdf | 2019); Capps v. State, 265 S.W.3d 44 (Tex. App. 2008))."
Chapman v. Oklahoma | 472 F.3d 747,1,0,1,3,law_enforcement;ex_parte;jurisdiction;rico;lockout_eviction,"RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain-03d92fa3-1.pdf | implicate important state interests. Chapman v. Oklahoma, 472 F.3d 747,"
Chiles v. Schuble | 788 S.W.2d 205,1,0,1,3,law_enforcement;due_process;ex_parte;notice;jurisdiction,"RESEARCH\REFUSAL TO HEAR TRO.pdf | Chiles v. Schuble, 788 S.W.2d 205 (Tex. App. 1990) found that a trial"
Cluett v. Medical | 829 S.W.2d 822,1,0,1,3,notice;federal_court;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-is-a-summary-judgment--and-how-is-it-defined-and-applied-under-Texas-law--1.pdf | cited in Cluett v. Medical Protective Co., 829 S.W.2d 822 (Tex. App. 1992)."
Co. v. Casas | 856 S.W.2d 732,1,0,1,3,notice;federal_court;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-is-a-summary-judgment--and-how-is-it-defined-and-applied-under-Texas-law--1.pdf | Co. v. Casas, 856 S.W.2d 732, 733 (Tex.1993); Montgomery v. Kennedy, 669"
Co. v. Knott | 128 S.W.3d 211,1,0,1,3,notice;federal_court;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-is-a-summary-judgment--and-how-is-it-defined-and-applied-under-Texas-law--1.pdf | Provident Life and Acc. Ins. Co. v. Knott, 128 S.W.3d 211 (Tex. 2003)"
Co. v. Mayes | 236 S.W.3d 754,1,0,1,3,notice;federal_court;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-is-a-summary-judgment--and-how-is-it-defined-and-applied-under-Texas-law--1.pdf | presented."" Goodyear Tire & Rubber Co. v. Mayes, 236 S.W.3d 754, 755 (Tex."
Cook v. Nacogdoches | 167 S.W.3d 476,1,0,1,3,notice;federal_court;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-is-a-summary-judgment--and-how-is-it-defined-and-applied-under-Texas-law--1.pdf | cited in Cook v. Nacogdoches Anesthesia Group, 167 S.W.3d 476 (Tex. 2005)."
Dallas v. Cox | 793 S.W.2d 701,1,0,1,3,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\EMAILS FROM BAKER ANALYSIS.pdf | Dallas v. Cox, 793 S.W.2d 701 (Tex. App. 1990))."
Davenport v. Garcia | 834 S.W.2d 4,1,0,1,3,law_enforcement;due_process;recusal;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-The-ongoing-procedural-irregularities-and-judicial-inaction-have-caused-irreparable-harm-to-the-resp-1.pdf | irreparable harm to the judicial process (Davenport v. Garcia, 834 S.W.2d 4"
DeSoto v. Yellow | 957 F.2d 655,1,0,1,3,law_enforcement;jurisdiction;notice;rico;fraud_perjury,"RESEARCH\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.pdf | cured by amendment (DeSoto v. Yellow Freight Systems, Inc., 957 F.2d 655"
Discipline v. Cantu | 587 S.W.3d 779,1,0,1,3,law_enforcement;due_process;notice;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-Is-it-illegal-for-an-attorney-to-fill-out-an-associate-judge-s-report-and-then-just-get-the-judge-s--1.pdf | State Bar of Texas (Commn for Lawyer Discipline v. Cantu, 587 S.W.3d 779"
Drew v. Unauthorized | 970 S.W.2d 152,1,0,1,3,jurisdiction;fraud_perjury;federal_court;appeal;hearing,"RESEARCH\ATTORNEY FAILURE TO PROSECUTE.pdf | Drew v. Unauthorized Practice of Law Committee, 970 S.W.2d 152 (Tex. App."
Ex parte Chad | 26 S.W.3d 711,1,0,1,3,law_enforcement;due_process;recusal;ex_parte;notice,"RESEARCH\vLex-Vincent-The-record-contains-unrefuted-evidence-of-procedural-irregularities--favoritism--and-disregard-for-m-1.pdf | depends on both (Ex parte Chad Parker, 26 S.W.3d 711 (Tex. App. 2000);"
Ex parte Stacey | 709 S.W.2d 185,1,0,1,3,due_process;ex_parte;notice;jurisdiction;temporary_orders,"RESEARCH\NO ORDER OF REFERRAL - ASSOCIATE JUDGE.pdf | Similarly, in Ex parte Stacey, 709 S.W.2d 185 (Tex. Crim. App. 1986), the"
Freeman v. State | 125 S.W.3d 505,1,0,1,3,law_enforcement;due_process;recusal;ex_parte;notice,"RESEARCH\vLex-Vincent-The-record-contains-unrefuted-evidence-of-procedural-irregularities--favoritism--and-disregard-for-m-1.pdf | 448 (Tex. Crim. App. 2011), Freeman v. State, 125 S.W.3d 505 (Tex. Crim."
Garza v. Family | 212 S.W.3d 373,1,0,1,3,law_enforcement;due_process;notice;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-Is-it-illegal-for-an-attorney-to-fill-out-an-associate-judge-s-report-and-then-just-get-the-judge-s--1.pdf | Garza v. Family and Protective Serv., 212 S.W.3d 373 (Tex. App. 2006),"
Gibbs v. General | 450 S.W.2d 827,1,0,1,3,notice;federal_court;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-is-a-summary-judgment--and-how-is-it-defined-and-applied-under-Texas-law--1.pdf | Gibbs v. General Motors Corp., 450 S.W.2d 827 (Tex. 1970)"
Guerrero v. Refugio | 946 S.W.2d 558,1,0,1,3,recusal;jurisdiction;rico;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-Under-what-circumstances-does-judicial-or-quasi-judicial-immunity-not-apply-to-judges-or-court-staff-1.pdf | 351 (Tex. App. 2003); Guerrero v. Refugio County, 946 S.W.2d 558 (Tex."
Hall v. State | 39 S.W.3d 316,1,0,1,3,ex_parte;notice;federal_court;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-How-and-when-can-a-party-invoke-their-right-to-a-jury-trial--1.pdf | State; Hall v. State, 39 S.W.3d 316). In misdemeanor cases, waiver does not"
Hawthorne v. Guenther | 461 S.W.3d 218,1,0,1,3,notice;federal_court;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-is-a-summary-judgment--and-how-is-it-defined-and-applied-under-Texas-law--1.pdf | reasonable jurors could not."" Hawthorne v. Guenther, 461 S.W.3d 218, 221"
Hughes v. Tobacco | 278 F.3d 417,1,0,1,3,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour-1.pdf | (Hughes v. Tobacco Institute, Inc., 278 F.3d 417)."
Hunt v. City | 574 S.W.3d 406,1,0,1,3,law_enforcement;due_process;jurisdiction;temporary_orders;lockout_eviction,"RESEARCH\vLex-Vincent-If-a-party-in-Texas-1.pdf | In Hunt v. City of Diboll, 574 S.W.3d 406 (Tex. App. 2017), the court explained that ""A plea to the jurisdiction challenges the trial court's authority to determine the"
Huntsberry v. Lynaugh | 807 S.W.2d 16,1,0,1,3,law_enforcement;due_process;jurisdiction;notice;federal_court,"RESEARCH\vLex-Vincent-Can-a-divorce-case-be-1.pdf | 582 (Tex. App. 1992), Thompson v. Ereckson, 814 S.W.2d 805 (Tex. App. 1991), Huntsberry v. Lynaugh, 807 S.W.2d 16 (Tex. App. 1991), and Kendrick v."
In re A.B | 412 S.W.3d 588,1,0,1,3,property_financial;custody;appeal,"RESEARCH\trial court is the sole judge of witness credibility.pdf | It is important to note that In re A.B., 412 S.W.3d 588 (Tex. App. 2013) has"
In re A.C | 560 S.W.3d 624,1,0,1,3,law_enforcement;appeal;property_financial;custody;protective_order,"RESEARCH\vLex-Vincent-What-factors-can-a-trial-1.pdf | These factors have been repeatedly reaffirmed and applied in subsequent appellate and Supreme Court decisions (In re A.C., 560 S.W.3d 624 (Tex. 2018); In re"
In re A.G.D.M | 533 S.W.3d 546,1,0,1,3,law_enforcement;jurisdiction;notice;temporary_orders;federal_court,"RESEARCH\vLex-Vincent-If-an-agreed-temporary-order--not-adopted-by-the-district-judge--bears-only-an-associate-judge-s-sig-1.pdf | In In re A.G.D.M., 533 S.W.3d 546 (Tex. App. 2017), the Texas Court of"
In re Burcham | 546 S.W.3d 145,1,1,0,3,law_enforcement;due_process;recusal;ex_parte;notice,"CASE DOCS\08.21.25 - SECOND AMENDED MOTION FOR REHEARING.pdf | 546 S.W.3d 145 (Tex. Crim. App. 2017); In re Burcham,  NO. 12-18-"
In re Cnty | 655 S.W.3d 44,1,0,1,3,law_enforcement;due_process;ex_parte;notice;jurisdiction,"RESEARCH\REFUSAL TO HEAR TRO.pdf | In re Cnty. of Hidalgo, 655 S.W.3d 44 (Tex. App. 2022) and In re Abbott,"
In re D.S | 602 S.W.3d 504,1,1,0,3,law_enforcement;recusal;notice;jurisdiction;lockout_eviction,"CASE DOCS\05-04-2023-Agreed_Motion-1.pdf-1.pdf | 2022) (quoting In re D.S., 602 S.W.3d 504, 514 (Tex. 2020)) (cleaned up). We review"
In re D.S.P | 210 S.W.3d 776,1,0,1,3,due_process;jurisdiction;notice;federal_court;appeal,"RESEARCH\vLex-Vincent-What-Texas-case-law-supports-1.pdf | (Tex. 1980); Wiley v. Spratlan, 543 S.W.2d 349 (Tex. 1976); In re D.S.P., 210 S.W.3d 776 (Tex. App. 2006))."
In re Epperson | 53 S.W.3d 752,1,0,1,3,due_process;ex_parte;jurisdiction;notice;temporary_orders,"RESEARCH\vLex-Vincent-Does-a-district-judge-in-1.pdf | Finally, In re Epperson, 53 S.W.3d 752 (Tex. App. 2001) addressed the issue of jurisdiction: ""Texas Department of Transportation v. Jones, 8 S.W.3d 636, 637"
In re Gravitt | 371 S.W.3d 465,1,0,1,3,law_enforcement;notice;federal_court;appeal;hearing,"RESEARCH\RULE 12.pdf | Reg'l Med. Ctr. (In re Gravitt), 371 S.W.3d 465 (Tex. App. 2012); Phillips v."
In re Interest | 452 S.W.3d 462,1,0,1,3,law_enforcement;due_process;appeal;property_financial;protective_order,"RESEARCH\allegations such as drug.pdf | In re Interest of D.M., 452 S.W.3d 462 (Tex. App. 2014): The court"
In re Interest | 654 S.W.3d 312,1,0,1,3,law_enforcement;due_process;jurisdiction;temporary_orders;lockout_eviction,"RESEARCH\vLex-Vincent-If-a-party-in-Texas-1.pdf | In In re Interest of A.J.T., 654 S.W.3d 312 (Tex. App. 2022), the court explained: ""Though Texas district courts have general jurisdiction over child custody"
In re J.R.D | 169 S.W.3d 740,1,1,0,3,law_enforcement;notice;fraud_perjury;federal_court;discovery,"CASE DOCS\12.09.25 - RESPONDENT'S PROPOSED PARENTING PLAN.pdf | Code  153.001; In re J.R.D., 169 S.W.3d 740 (Tex. 2005)). Conduct that obstructs this"
In re Justin | 549 S.W.3d 330,1,0,1,3,law_enforcement;due_process;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-What-are-the-broader-implications-1.pdf | the courts role as a safeguard for the childs welfare (In re Justin M., 549 S.W.3d 330 (Tex. App. 2018); In re C.M.D., NUMBER 13-20-00402-CV (Tex. App."
In re Lau | 89 S.W.3d 757,1,0,1,3,law_enforcement;due_process;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-What-are-the-broader-implications-1.pdf | be an abuse of discretion (In re Lau, 89 S.W.3d 757 (Tex. App. 2002); Forbes v. Wettman, 598 S.W.2d 231 (Tex. 1980))."
In re M.K.R | 216 S.W.3d 58,1,0,1,3,law_enforcement;jurisdiction;notice;temporary_orders;federal_court,"RESEARCH\vLex-Vincent-If-an-agreed-temporary-order--not-adopted-by-the-district-judge--bears-only-an-associate-judge-s-sig-1.pdf | Similarly, in In re M.K.R., 216 S.W.3d 58 (Tex. App. 2007), the court"
In re Marriage | 118 S.W.3d 868,1,0,1,3,jurisdiction;notice;lockout_eviction;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-What-constitutes--fraud-on-the-court--in-Texas--and-what-are-the-available-remedies-if-proven-in-a-d-1.pdf | 1998); In re Marriage of Notash, 118 S.W.3d 868 (Tex. App. 2003)). The"
In re Meyer | 482 S.W.3d 706,1,0,1,3,law_enforcement;recusal;jurisdiction;federal_court;associate_judge,"RESEARCH\vLex-Vincent-Is-a-direct-petition-for-1.pdf | by law. TEX. CONST. art. V,  6; In re Meyer, 482 S.W.3d 706, 709 (Tex. App.Texarkana 2016, orig. proceeding). By statute, our mandamus jurisdiction is"
In re N.G | 577 S.W.3d 230,1,0,1,3,due_process;jurisdiction;notice;federal_court;appeal,"RESEARCH\vLex-Vincent-What-Texas-case-law-supports-1.pdf | the trial court's findings under each of those grounds. In re N.G., 577 S.W.3d 230, 234 (Tex. 2019) (per curiam)."
In re Pate | 718 S.W.2d 759,1,0,1,3,law_enforcement;due_process;ex_parte;notice;jurisdiction,"RESEARCH\vLex-Vincent-What-are-the-broader-implications-1.pdf | mandamus relief is available (In re Pate, 407 S.W.3d 416 (Tex. App. 2013); Milner v. Kilgore, 718 S.W.2d 759 (Tex. App. 1986))."
In re State | 587 S.W.3d 78,1,0,1,3,law_enforcement;recusal;jurisdiction;federal_court;associate_judge,"RESEARCH\vLex-Vincent-Is-a-direct-petition-for-1.pdf | While the jurisdictional question is the focus of the analysis, it's worth noting the general standards for mandamus relief. In re State ex rel. Durden, 587 S.W.3d 78"
In re State | 629 S.W.3d 715,1,0,1,3,law_enforcement;recusal;ex_parte;jurisdiction;fraud_perjury,"RESEARCH\regional_retired_judges.pdf | No. 13-19-00551-CV (Tex. App. Dec. 19, 2019); In re State, 629 S.W.3d 715"
In re T.D.S.T | 287 S.W.3d 268,1,0,1,3,law_enforcement;due_process;notice;fraud_perjury;federal_court,"RESEARCH\vLex-Vincent-Is-it-illegal-for-an-attorney-to-fill-out-an-associate-judge-s-report-and-then-just-get-the-judge-s--1.pdf | Other cases, such as In re T.D.S.T., 287 S.W.3d 268 (Tex. App. 2009) and"
In re Villanueva | 292 S.W.3d 236,1,0,1,3,law_enforcement;due_process;recusal;ex_parte;notice,"RESEARCH\vLex-Vincent--1-NO--25-0367-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS----------MOTION-FOR-REHEARI-1.pdf | This standard is further elaborated in In re Villanueva, 292 S.W.3d 236 (Tex."
Inc. v. Eli's | 987 F.2d 766,1,0,1,3,notice;federal_court;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-is-a-summary-judgment--and-how-is-it-defined-and-applied-under-Texas-law--1.pdf | non-moving party. See Lloyd's Food Products Inc. v. Eli's Inc., 987 F.2d 766,"
Inc. v. Int'l | 879 F.3d 1062,1,0,1,3,law_enforcement;jurisdiction;notice;rico;fraud_perjury,"RESEARCH\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.pdf | Grp., Inc. v. Int'l Bus. Machs. Corp., 879 F.3d 1062 (10th Cir. 2018); Mohebbi"
Inc. v. Moore | 829 S.W.2d 345,1,0,1,3,recusal;jurisdiction;rico;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-Under-what-circumstances-does-judicial-or-quasi-judicial-immunity-not-apply-to-judges-or-court-staff-1.pdf | 1994); GAB Business Services, Inc. v. Moore, 829 S.W.2d 345 (Tex. App."
Inc. v. Pannill | 833 F.2d 1560,1,0,1,3,notice;federal_court;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-is-a-summary-judgment--and-how-is-it-defined-and-applied-under-Texas-law--1.pdf | Sweats Fashions Inc. v. Pannill Knitting Co. Inc., 833 F.2d 1560, 4 U.S.P.Q.2d"
