citation,doc_count,doc_count_case,doc_count_research,total_hits,top_issues,sample_context
McClain v. Triana,2,0,2,2,appeal;jurisdiction;civil_rights_1983;federal_court;property_financial,"RESEARCH\vLex-Vincent-Answer-Short-response-While-the-plaintiff-s-allegations--if-proven--could-potentially-satisfy-the-el-1.pdf | v. Millard, NO. 01-17-00857-CV (Tex. App. Oct 25, 2018); McClain v. Triana,"
Miller v. Roberts,2,0,2,2,law_enforcement;jurisdiction;notice;lockout_eviction;fraud_perjury,"RESEARCH\vLex-Vincent-What-is-the-caselaw-related-1.pdf | parties, arbitration is required only of those controversies or disputes which the parties have agreed to submit to arbitration.' Miller v. Roberts, 682 So.2d 691, 692"
Montpas v. State,2,0,2,2,law_enforcement;ex_parte;notice;jurisdiction;federal_court,"RESEARCH\vLex-Vincent-CAUSE-NUMBER--2500011168-OFFENSE-CHARGED--LP---OPERATION-OF-MOTOR-VEHICLE-WITHOUT-LICENSE-PLATE-STAT-1.pdf | Montpas v. State, 997 S.W.2d 650 (Tex. App. 1999)"
Morrissey v. Brewer,2,0,2,2,law_enforcement;due_process;notice;temporary_orders;fraud_perjury,"RESEARCH\vLex-Vincent-If-a-judge-in-Texas-deprived-a-litigant-of-their-home-and-property-without-a-hearing--issued-an-orde-1.pdf | question remains what process is due. Morrissey v. Brewer, 408 U.S. 471,"
Myers v. Daniel,2,0,2,2,jurisdiction;notice;rico;lockout_eviction;fraud_perjury,RESEARCH\vLex-Vincent-Case-5-24-cv-01311-R-Document-18-Filed-06-30-25-Page-1-of-5-FILED-JUN-3-D-2025-IN-THE-UNITED-STATES--1.pdf | Dustin Myers v. Daniel Kenneth Branthoover and Morgan Michelle Myers.
Myers v. Morgan,2,0,2,2,law_enforcement;due_process;recusal;ex_parte;notice,RESEARCH\vLex-Vincent-322-744263-23-IN-THE-322ND-DISTRICT-COURT--OF-TARRANT-COUNTY--TEXAS--Morgan-Michelle-Myers---------- (1)-1.pdf | which the recusal motion in the case of Charles Dustin Myers v. Morgan
Neder v. United,2,0,2,2,jurisdiction;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-Defendants-Myers-and-Branthoover-exchanged-numerous-interstate-text-messages-and-emails--and-submitt-1.pdf | and (iii) the materiality of the misrepresentations, see Neder v. United"
Offutt v. United,2,0,2,2,recusal;appeal;law_enforcement;civil_rights_1983;hearing,"RESEARCH\vLex-Vincent-42-U-S-C----1983-Complaint-for-Injunctive-and-Declaratory-Relief-Introduction-Plaintiff-Charles-Dust-1.pdf | '[J]ustice must satisfy the appearance of justice.' Offutt v. United States, 348"
Okaya v. Denne,2,0,2,2,jurisdiction;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-Draft-a-civil-RICO-complaint-based-on-the-provided-facts--establishing-the-existence-of-an-enterpris-1.pdf | other than self-interest. See Okaya v. Denne Indus., 2000 WL 1727785, at *4"
Pa. v. Kozeny,2,0,2,2,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-How-does-the-10th-Circuit-distinguish-between-the-person-and-the-enterprise-under-RICO--1.pdf | (1981); see also Nat'l Union Fire Ins. Co. of Pittsburgh, Pa. v. Kozeny, 115 F."
Parnell v. CashCall,2,0,2,2,law_enforcement;jurisdiction;notice;lockout_eviction;fraud_perjury,"RESEARCH\vLex-Vincent-What-is-the-caselaw-related-1.pdf | the delegation provision as valid and allow the arbitrator to determine the issue of arbitrability.' Parnell v. CashCall, Inc., 804 F.3d 1142, 1148 (11th Cir. 2015)"
Prescriptions v. Department,2,0,2,2,law_enforcement;jurisdiction;notice;lockout_eviction;fraud_perjury,"RESEARCH\vLex-Vincent-What-is-the-caselaw-related-1.pdf | Paid Prescriptions v. Department of Health and Rehabilitative Services, 350 So.2d 100 (Fla. App. 1977)"
Preston v. State,2,0,2,2,law_enforcement;ex_parte;notice;jurisdiction;federal_court,"RESEARCH\vLex-Vincent-CAUSE-NUMBER--2500011168-OFFENSE-CHARGED--LP---OPERATION-OF-MOTOR-VEHICLE-WITHOUT-LICENSE-PLATE-STAT-1.pdf | Preston v. State, 145 S.W.3d 683 (Tex. App. 2004)"
Prods. v. Franciscan,2,0,2,2,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-The-wife-and-stepfather-s-actions-were-not-isolated-but-part-of-an-ongoing-scheme-to-defraud-the-hus-1.pdf | Prods. v. Franciscan Ceramics, Inc., 818 F.2d 1466 (9th Cir.1987), we"
Pruitt v. Turner,2,0,2,2,hearing;appeal,"RESEARCH\vLex-Vincent-The-court-coordinator-s-role-is-administrative--not-judicial--and-coordinators-are-not-authorized-to-1.pdf | Pruitt v. Turner, 336 S.W.2d 440 (Tex. Ct. App. 1960)"
Puckett v. Tennessee,2,0,2,2,law_enforcement;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-Under-what-circumstances-could-a-RICO-claim-arise-from-a-scheme-involving-a-wife--a-third-party--and-01d79fe1-1.pdf | e.g., Puckett v. Tennessee Eastman Co., 889 F.2d 1481, 1489 (6th Cir. 1989)."
Qubty v. Nagda,2,0,2,2,law_enforcement;jurisdiction;notice;lockout_eviction;fraud_perjury,"RESEARCH\vLex-Vincent-What-is-the-caselaw-related-1.pdf | id. Courts generally favor such provisions, and will try to resolve an ambiguity in an arbitration provision in favor of arbitration. See id.; see also Qubty v. Nagda,"
R.R. v. Cross,2,0,2,2,jurisdiction;federal_court;injunction;appeal;hearing,"RESEARCH\vLex-Vincent-Answer-Short-response-The-local-rule-requiring-all-briefs--proposed-orders--and-judgments-to-be-pres-1.pdf | R.R. v. Cross, 501 S.W.2d 868, 872 (Tex. 1973) ('The Texas Rules of Civil"
Randall v. Brigham,2,0,2,2,appeal;jurisdiction;civil_rights_1983;federal_court;property_financial,RESEARCH\vLex-Vincent-42-U-S-C----1983-Complaint-for-Injunctive-and-Declaratory-Relief-Introduction-Plaintiff-Charles-Dust-1.pdf | In Randall v. Brigham (1869) the Supreme Court endorsed the principle of
Ray v. Spirit,2,0,2,2,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Plaintiff-was-unlawfully-removed-from-his-residence--which-he-relied-on-to-earn-a-living-for-his-fam-1.pdf | activity that included at least two racketeering acts.' Ray v. Spirit Airlines,"
Richardson v. State,2,0,2,2,law_enforcement;recusal;notice;jurisdiction;temporary_orders,"RESEARCH\vLex-Vincent-Question-1-No-25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--RELATOR--On-Petiti-1.pdf | Richardson v. State, 83 S.W.3d 332 (Tex. App. 2002)"
Rodarte v. Cox,2,0,2,2,law_enforcement;due_process;notice;temporary_orders;fraud_perjury,"RESEARCH\vLex-Vincent-If-a-judge-in-Texas-deprived-a-litigant-of-their-home-and-property-without-a-hearing--issued-an-orde-1.pdf | Rodarte v. Cox, 828 S.W.2d 65 (Tex. App. 1991)"
Rodgers v. Bradley,2,0,2,2,law_enforcement;due_process;recusal;ex_parte;notice,"RESEARCH\vLex-Vincent-The-record-contains-unrefuted-evidence-of-procedural-irregularities--favoritism--and-disregard-for-m-1.pdf | actually impartial. Rodgers v. Bradley, 909 S.W.2d 872, 874 (Tex. 1995). The"
Roman v. State,2,0,2,2,law_enforcement;due_process;recusal;ex_parte;notice,"RESEARCH\vLex-Vincent-322-744263-23-IN-THE-322ND-DISTRICT-COURT--OF-TARRANT-COUNTY--TEXAS--Morgan-Michelle-Myers---------- (1)-1.pdf | Roman v. State, 145 S.W.3d 316 (Tex. App. 2004)"
Romero v. Shadywood,2,0,2,2,due_process;jurisdiction;notice;federal_court;appeal,"RESEARCH\vLex-Vincent-What-are-the-key-provisions-1.pdf | Romero v. Shadywood Villas Homeowners Ass'n, Inc., 657 So.2d 1193 (Fla. App. 1995)"
Roper v. Jollife,2,0,2,2,due_process;ex_parte;notice;lockout_eviction;appeal,"RESEARCH\protective ORDER.pdf | violence in the future by a preponderance of the evidence. Roper v. Jollife,"
S.A. v. Windsor,2,0,2,2,jurisdiction;rico;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Defendants-made-ongoing-threats-to-Plaintiff--including-threats-of-future-criminal-activity--demonst-1.pdf | ended pattern of racketeering); Cofacredit, S.A. v. Windsor Plumbing Supply"
S.P.R.L v. Imrex,2,0,2,2,rico;fraud_perjury;federal_court;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-wife-and-stepfather-engaged-in-multiple-acts--including-defrauding-the-husband-of-his-home--empt-1.pdf | predicate acts constitute a 'pattern.' In Sedima, S.P.R.L v. Imrex Co., the"
Santosky v. Kramer,2,0,2,2,due_process;notice;federal_court;appeal;hearing,"RESEARCH\vLex-Vincent-A-litigant-walks-into-a-court-room-on-a-day-it-was-closed-due-to-inclement-weather--because-he-didnt-1.pdf | property right.' Santosky v. Kramer, 455 U.S. 745, 758-59, 102 S. Ct. 1388,"
Scheuer v. Rhodes,2,0,2,2,law_enforcement;jurisdiction;notice;rico;fraud_perjury,"RESEARCH\vLex-Vincent-Plaintiff-s-complaint-contains-detailed-factual-allegations-regarding-the-timing--nature--and-purpos-1.pdf | (quoting Scheuer v. Rhodes, 416 U.S. 232, 236, 94 S.Ct. 1683, 40 L.Ed.2d 90"
Seeba v. Dep't,2,0,2,2,law_enforcement;due_process;notice;temporary_orders;fraud_perjury,"RESEARCH\vLex-Vincent-If-a-judge-in-Texas-deprived-a-litigant-of-their-home-and-property-without-a-hearing--issued-an-orde-1.pdf | Seeba v. Dep't of Justice, 022123 MSPB, PH-0752-17-0162-I-1"
Services v. Holmes,2,0,2,2,recusal;fraud_perjury;appeal;law_enforcement;notice,"RESEARCH\vLex-Vincent-Answer-Short-response-The-litigant-has-a-strong-ultra-vires-claim-because-the-court-and-its-officers-1.pdf | Texas Department of State Health Services v. Holmes, 294 S.W.3d 328 (Tex."
Services v. Payment,2,0,2,2,rico;fraud_perjury;federal_court;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-wife-and-stepfather-engaged-in-multiple-acts--including-defrauding-the-husband-of-his-home--empt-1.pdf | Paycom Billing Services v. Payment Resources, 212 F.Supp.2d 732 (W.D."
Sheshtawy v. Gray,2,0,2,2,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (1)-1.pdf | caused by defendant's conduct. Sheshtawy v. Gray, 697 F. App'x 380, 382"
Smith v. State,2,0,2,2,recusal;fraud_perjury;appeal;law_enforcement;notice,"RESEARCH\vLex-Vincent-Answer-Short-response-The-unprecedented-treatment-described-in-the-provided-record-including-apparen-1.pdf | Smith v. State Commission on Judicial Conduct, No. 03-04-00376-CV (TX"
Sparks v. Duval,2,0,2,2,recusal;fraud_perjury;appeal;law_enforcement;notice,"RESEARCH\vLex-Vincent-42-U-S-C----1983-Complaint-for-Injunctive-and-Declaratory-Relief-Introduction-Plaintiff-Charles-Dust-1.pdf | Sparks v. Duval County Ranch Co., Inc., 604 F.2d 976 (5th Cir. 1979)"
Spease v. Olivares,2,0,2,2,recusal;appeal;jurisdiction;civil_rights_1983;injunction,"RESEARCH\vLex-Vincent-42-U-S-C----1983-Complaint-for-Injunctive-and-Declaratory-Relief-Introduction-Plaintiff-Charles-Dust-1.pdf | Spease v. Olivares, 509 S.W.3d 512 (Tex. App. 2016)"
Spivey v. Robertson,2,0,2,2,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (1)-1.pdf | on the alleged facts.' Spivey v. Robertson, 197 F.3d 772, 774 (5th Cir. 1999)."
State v. Deaton,2,0,2,2,due_process;jurisdiction;notice;appeal;property_financial,"RESEARCH\vLex-Vincent-What-are-the-leading-Texas-cases-interpreting-the--best-interests-of-the-child--standard-in-family-l-1.pdf | and substantial reasons.' State v. Deaton, 93 Tex. 243, 54 S.W. 901 (1900)."
State v. Hacheney,2,0,2,2,jurisdiction;rico;fraud_perjury;federal_court;property_financial,"RESEARCH\vLex-Vincent-The-individuals-submitted-false-documents-to-Texas-courts--which-were-prepared-in-Oklahoma--and-requ-1.pdf | vacated by State v. Hacheney, No. 29965-8-II (WA 8/3/2005). Despite this"
State v. Morse,2,0,2,2,law_enforcement;ex_parte;notice;jurisdiction;federal_court,"RESEARCH\vLex-Vincent-CAUSE-NUMBER--2500011168-OFFENSE-CHARGED--LP---OPERATION-OF-MOTOR-VEHICLE-WITHOUT-LICENSE-PLATE-STAT-1.pdf | State v. Morse, 903 S.W.2d 100 (Tex. App. 1995)"
State v. Williams,2,0,2,2,jurisdiction;federal_court;injunction;appeal;hearing,"RESEARCH\vLex-Vincent-Answer-Short-response-The-local-rule-requiring-all-briefs--proposed-orders--and-judgments-to-be-pres-1.pdf | assigned powers. See State v. Williams, 938 S.W.2d 456, 458 (Tex. Crim."
States v. Bailey,2,0,2,2,law_enforcement;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-What-elements-must-be-pled-to-establish-a-violation-of-the-Travel-Act--18-U-S-C----1952--as-a-predic-1.pdf | order to find RICO violations); United States v. Bailey, 859 F.2d 1265, 1278"
States v. Becton,2,0,2,2,law_enforcement;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-What-elements-must-be-pled-to-establish-a-violation-of-the-Travel-Act--18-U-S-C----1952--as-a-predic-1.pdf | activity after arriving in Los Angeles. See United States v. Becton, 751 F.2d"
States v. Cardall,2,0,2,2,law_enforcement;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-What-elements-must-be-pled-to-establish-a-violation-of-the-Travel-Act--18-U-S-C----1952--as-a-predic-1.pdf | United States v. Cardall, 885 F.2d 656, 682 (10th Cir. 1989) (invalidation of"
States v. Chandler,2,0,2,2,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-If-a-defendant-in-oklahoma-conspires-with-someone-s-wife-in-texas-to-defraud-the-husband-of-his-prop-1.pdf | States v. Chandler, 388 F.3d 796, 805-06 (11th Cir. 2004) (stating conspiracy"
States v. Computer,2,0,2,2,jurisdiction;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-Draft-a-civil-RICO-complaint-based-on-the-provided-facts--establishing-the-existence-of-an-enterpris-1.pdf | that, punish.' United States v. Computer Sciences Corp., 689 F.2d 1181,"
States v. Corona,2,0,2,2,law_enforcement;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-What-elements-must-be-pled-to-establish-a-violation-of-the-Travel-Act--18-U-S-C----1952--as-a-predic-1.pdf | convictions for 18 to 25 counts remained); United States v. Corona, 885 F.2d"
States v. Deleon,2,0,2,2,fraud_perjury;appeal;jurisdiction;federal_court;property_financial,"RESEARCH\vLex-Vincent-TIMELINE-OF-EVENTS-BACKGROUND-Morgan-Michelle-Myers----Myers---and-Charles-Dustin-Myers----Plaintiff-902c4461-1.pdf | United States v. Deleon, No. CR 15-4268 JB (D. N.M. Jan 01, 2020)"
States v. Griffin,2,0,2,2,jurisdiction;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-Draft-a-civil-RICO-complaint-based-on-the-provided-facts--establishing-the-existence-of-an-enterpris-1.pdf | (1981). See also United States v. Griffin, 660 F.2d 996, 999 (4th Cir.1981),"
States v. Hager,2,0,2,2,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent--TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcou-1.pdf | United States v. Hager, 879 F.3d 550, 554 (5th Cir. 2018)."
States v. Inakufu,2,0,2,2,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-If-a-defendant-in-oklahoma-conspires-with-someone-s-wife-in-texas-to-defraud-the-husband-of-his-prop-1.pdf | separate offense.&#34; (quoting United States v. Inakufu, 938 F.2d 972,"
States v. Knight,2,0,2,2,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent--The-divorce-litigation-is-ongoing--the-final-trial-is-still-pending--and-the-FAC-alleges-a-real-ris-1.pdf | States v. Knight, 659 F.3d 1285, 1288-89 (10th Cir. 2011) (quoting H.J. Inc. v."
States v. Lechuga,2,0,2,2,jurisdiction;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent--Plaintiff-alleges-a-coordinated-scheme-involving-multiple-defendants--Myers--Branthoover--Carter--B-1.pdf | in United States v. Lechuga, No. 19-40483 (5th Cir. Jul 09, 2020)."
States v. Long,2,0,2,2,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Defendants-engaged-in-a-series-of-related-acts--wire-fraud--interstate-travel--perjury--threats--and (1)-1.pdf | RICO violation)... United States v. Long, 917 F.2d 691,697 (2d Cir. 1990)"
States v. Palumbo,2,0,2,2,law_enforcement;rico;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-The-mother-and-stepfather-engaged-in-multiple-acts--including-wire-fraud--via-PayPal-transactions-an (1)-1.pdf | (B)); ... United States v. Palumbo Bros., 145 F.3d 850, 862-63 (7th Cir. 1998)"
States v. Robinson,2,0,2,2,jurisdiction;federal_court;rico;fraud_perjury;property_financial,"RESEARCH\vLex-Vincent-Morgan-was-in-Texas--and-Daniel-was-in-Oklahoma--and-their-scheme-involved-actions-across-state-line-1.pdf | United States v. Robinson, 763 F.2d 778 (6th Cir. 1985) ('minimal impact');"
States v. Simpson,2,0,2,2,law_enforcement;due_process;notice;jurisdiction;rico,"RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | See, e.g., United States v. Simpson, 709 F.2d 903, 907 (5th Cir.1983), cert."
States v. Vigil,2,0,2,2,law_enforcement;federal_court;appeal;property_financial;civil_rights_1983,"RESEARCH\vLex-Vincent-Extortion-Under-Color-of-Official-Right--Extortion-under-color-of-official-right-does-not-require-pr-1.pdf | States v. Vigil, 523 F.3d 1258, 1264 (10th Cir. 2008) (holding directed"
States v. Wander,2,0,2,2,law_enforcement;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-What-elements-must-be-pled-to-establish-a-violation-of-the-Travel-Act--18-U-S-C----1952--as-a-predic-1.pdf | As we stated in United States v. Wander, 601 F.2d 1251 (3d Cir.1979), 'there"
States v. Zauber,2,0,2,2,law_enforcement;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-What-elements-must-be-pled-to-establish-a-violation-of-the-Travel-Act--18-U-S-C----1952--as-a-predic-1.pdf | legally sufficient predicate acts); United States v. Zauber, 857 F.2d 137,"
States v. Zolicoffer,2,0,2,2,law_enforcement;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-What-elements-must-be-pled-to-establish-a-violation-of-the-Travel-Act--18-U-S-C----1952--as-a-predic-1.pdf | L.Ed.2d 615 (1985); see also United States v. Zolicoffer, 869 F.2d 771, 774"
Story v. State,2,0,2,2,jurisdiction;federal_court;injunction;appeal;hearing,"RESEARCH\vLex-Vincent-Answer-Short-response-The-local-rule-requiring-all-briefs--proposed-orders--and-judgments-to-be-pres-1.pdf | Story v. State, 654 S.W.3d 234 (Tex. App. 2022)"
Sultan v. Mathew,2,0,2,2,law_enforcement;ex_parte;notice;jurisdiction;federal_court,"RESEARCH\vLex-Vincent-CAUSE-NUMBER--2500011168-OFFENSE-CHARGED--LP---OPERATION-OF-MOTOR-VEHICLE-WITHOUT-LICENSE-PLATE-STAT-1.pdf | Sultan v. Mathew, 178 S.W.3d 747 (Tex. 2005)"
Taylor v. Bear,2,0,2,2,jurisdiction;rico;fraud_perjury;federal_court;civil_rights_1983,"RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA--CHARLES-DUSTIN-MYERS-------1.pdf | Taylor v. Bear Stearns & Co., 572 F.Supp. 667, 682 (N.D.Ga.1983)... RICO"
Thomas v. Pugliese,2,0,2,2,law_enforcement;due_process;recusal;ex_parte;notice,"RESEARCH\vLex-Vincent-322-744263-23-IN-THE-322ND-DISTRICT-COURT--OF-TARRANT-COUNTY--TEXAS--Morgan-Michelle-Myers---------- (1)-1.pdf | Thomas v. Pugliese, No. 02-18-00064-CV (Tex. App. Jul 11, 2019)"
Turtur v. Lee,2,0,2,2,jurisdiction;federal_court;injunction;appeal;hearing,"RESEARCH\vLex-Vincent-Answer-Short-response-The-local-rule-requiring-all-briefs--proposed-orders--and-judgments-to-be-pres-1.pdf | Turtur v. Lee, 702 S.W.2d 309 (Tex. App. 1986)"
Tweedie v. State,2,0,2,2,law_enforcement;ex_parte;notice;jurisdiction;federal_court,"RESEARCH\vLex-Vincent-CAUSE-NUMBER--2500011168-OFFENSE-CHARGED--LP---OPERATION-OF-MOTOR-VEHICLE-WITHOUT-LICENSE-PLATE-STAT-1.pdf | Tweedie v. State, 10 S.W.3d 346 (Tex. App. 1998)"
U.S. v. Brooklier,2,0,2,2,rico;lockout_eviction;fraud_perjury;federal_court;appeal,"RESEARCH\vLex-Vincent-The-complaint-alleges-that-Defendants-knowingly-agreed-to-participate-in-the-racketeering-enterprise-1.pdf | U.S. v. Brooklier, 685 F.2d 1208 (9th Cir. 1982)"
U.S. v. Frey,2,0,2,2,rico;fraud_perjury;federal_court;civil_rights_1983;appeal,"RESEARCH\vLex-Vincent-The-mother-and-stepfather-acted-with-the-intent-to-deceive-and-gain-an-unfair-advantage-in-divorce-p-1.pdf | U.S. v. Frey, 42 F.3d 795 (3rd Cir. 1994)"
U.S. v. Lea,2,0,2,2,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Morgan-and-Daniel-engaged-in-multiple-acts--including-the-preparation-of-false-court-documents-and-t-1.pdf | the U.S. mails or made through the use of interstate wires. U.S. v. Lea, 618 F."
U.S. v. Manzella,2,0,2,2,fraud_perjury;appeal;civil_rights_1983;federal_court;property_financial,"RESEARCH\vLex-Vincent-Answer-Short-response-While-the-plaintiff-s-allegations--if-proven--could-potentially-satisfy-the-el-1.pdf | U.S. v. Manzella, 782 F.2d 533 (5th Cir. 1986)"
U.S. v. Salom,2,0,2,2,rico;fraud_perjury;federal_court;appeal;jurisdiction,"RESEARCH\vLex-Vincent-Myers-and-Branthoover-communicated-across-state-lines--Texas-and-Oklahoma--via-text-messages-and-pho-1.pdf | Zielie was later abrogated by U.S. v. Salom, No. 08-10322 (11th Cir. Oct 15,"
U.S. v. Zichettello,2,0,2,2,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Defendants-Myers-and-Branthoover-agreed-to-work-together-to-defraud-Plaintiff-and-deprive-him-of-his-1.pdf | U.S. v. Zichettello, 208 F.3d 72 (2nd Cir. 1998)"
Valdez v. Valdez,2,0,2,2,recusal;fraud_perjury;appeal;law_enforcement;notice,"RESEARCH\vLex-Vincent-Answer-Short-response-The-litigant-has-a-strong-ultra-vires-claim-because-the-court-and-its-officers-1.pdf | raised before the trial court to preserve error); Valdez v. Valdez, 930 S.W.2d"
Vickery v. Texas,2,0,2,2,law_enforcement;due_process;recusal;ex_parte;notice,"RESEARCH\vLex-Vincent-322-744263-23-IN-THE-322ND-DISTRICT-COURT--OF-TARRANT-COUNTY--TEXAS--Morgan-Michelle-Myers---------- (1)-1.pdf | (Tex.App.--Houston [14th Dist.] 1990, writ denied); Vickery v. Texas Carpet"
W.L. v. Tex,2,0,2,2,law_enforcement;due_process;notice;temporary_orders;fraud_perjury,"RESEARCH\vLex-Vincent-If-a-judge-in-Texas-deprived-a-litigant-of-their-home-and-property-without-a-hearing--issued-an-orde-1.pdf | 2003)). As emphasized in W.L. v. Tex. Dep't of Family & Protective Servs.,"
Watkins v. Pearson,2,0,2,2,law_enforcement;due_process;recusal;ex_parte;notice,"RESEARCH\vLex-Vincent-322-744263-23-IN-THE-322ND-DISTRICT-COURT--OF-TARRANT-COUNTY--TEXAS--Morgan-Michelle-Myers---------- (1)-1.pdf | judge's failure to recuse himself. Watkins v. Pearson, 795 S.W.2d 257"
Wesbrook v. State,2,0,2,2,law_enforcement;due_process;recusal;ex_parte;notice,"RESEARCH\vLex-Vincent-322-744263-23-IN-THE-322ND-DISTRICT-COURT--OF-TARRANT-COUNTY--TEXAS--Morgan-Michelle-Myers---------- (1)-1.pdf | standard. See Wesbrook v. State, 29 S.W.3d 103, 120 (Tex.Crim.App.2000);"
Wick v. Orange,2,0,2,2,law_enforcement;jurisdiction;notice;lockout_eviction;fraud_perjury,"RESEARCH\vLex-Vincent-What-is-the-caselaw-related-1.pdf | Wick v. Orange Park Mgt, LLC, 327 So.3d 369 (Fla. App. 2021)"
Yeager v. The,2,0,2,2,recusal;fraud_perjury;appeal;law_enforcement;notice,"RESEARCH\vLex-Vincent-Answer-Short-response-The-litigant-has-a-strong-ultra-vires-claim-because-the-court-and-its-officers-1.pdf | Yeager v. The State of Tex. for the Prot. of Yeager, 06-24-00053-CV (Tex. App."
Zinermon v. Burch,2,0,2,2,jurisdiction;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent--The-FAC-specifically-pleads-ongoing-communications--threats--and-a-continuing-enterprise-with-a-ris-1.pdf | favorable to the plaintiff. See Zinermon v. Burch, 494 U.S. 113, 118 (1990);"
Foman v. Davis,1,0,1,60,law_enforcement;jurisdiction;notice;rico;fraud_perjury,"RESEARCH\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.pdf | facts may cure pleading deficiencies (Fed. R. Civ. P. 15(a); Foman v. Davis,"
Clark v. Young,1,0,1,21,removal_remand;appeal,"RESEARCH\vLex-Vincent-What-case-law-in-Texas-1.pdf | Based on the provided case law, there is limited judicial interpretation of Texas Government Code  74.101, with only Clark v. Young, 787 S.W.2d 166 (Tex. App."
In re J.P.B,1,0,1,20,property_financial;custody;appeal,"RESEARCH\trial court is the sole judge of witness credibility.pdf | based on prior dishonesty (see In re J.P.B., 180 S.W.3d 570, 573 (Tex. 2005))."
Houston v. Clear,1,0,1,14,notice;federal_court;associate_judge;appeal;hearing,"RESEARCH\vLex-Vincent-What-is-a-summary-judgment--and-how-is-it-defined-and-applied-under-Texas-law--1.pdf | issues that would preclude summary judgment."" City of Houston v. Clear"
Hernandez v. Estelle,1,0,1,13,jurisdiction;notice;federal_court;associate_judge;appeal,"RESEARCH\vLex-Vincent-The-relevant-statute-or-local-rule-limits-the-authority-of-associate-judges-to-conduct-initial-heari-1.pdf | Hernandez v. Estelle, 711 F.2d 619 (5th Cir. 1983) and U.S. v."
In re Champion,1,1,0,12,law_enforcement;recusal;notice;jurisdiction;lockout_eviction,"CASE DOCS\05-04-2023-Agreed_Motion-1.pdf-1.pdf | M.B., 650 S.W.3d 428, 436 (Tex. 2022); see, e.g., In re Champion Indus. Sales, LLC, 398"
Nelson v. State,1,0,1,12,law_enforcement;due_process;recusal;notice;federal_court,"RESEARCH\vLex-Vincent-If-a-litigant-files-a-tieritary-recusal--and-the-opposing-party-doesn-t-respond--can-the-regional-ju-1.pdf | 315 S.W.3d 533 (Tex. 2010)). Other cases, such as Nelson v. State, reiterate"
